player_id,name,full_name,height_cm,weight_kg,dob,positions,overall_rating,potential,value,wage,preferred_foot,weak_foot,skill_moves,international_reputation,body_type,specialities,club_id,club_name,club_league_id,club_league_name,club_rating,club_position,club_kit_number,club_joined,club_contract_valid_until,country_name,country_kit_number,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_vision,mentality_penalties,mentality_composure,defending_defensive_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_gk_diving,goalkeeping_gk_handling,goalkeeping_gk_kicking,goalkeeping_gk_positioning,goalkeeping_gk_reflexes,play_styles,mentality_attack_position,yearob,monthob,year_club_joined,month_club_joined,CAM,CB,CDM,CM,LB,LM,LW,RB,RM,RW,ST,CAM.1,CB.1,CDM.1,CM.1,GK,LB.1,LM.1,LW.1,RB.1,RM.1,RW.1,ST.1,#Acrobat,#Clinical finisher,#Complete defender,#Complete forward,#Complete midfielder,#Crosser,#Distance shooter,#Dribbler,#FK Specialist,#Playmaker,#Strength,#Tackling,#Tactician,#Acrobat.1,#Aerial threat,#Clinical finisher.1,#Crosser.1,#Distance shooter.1,#Dribbler.1,#FK Specialist.1,#Playmaker.1,#Speedster,#Strength.1,#Tackling.1,#Tactician.1,Acrobatic,Aerial fortress,Anticipate,Block,Bruiser,Chip shot,Cross claimer,Dead ball,Deflector,Enforcer,Far reach,Far throw,Finesse shot,First touch,Footwork,Gamechanger,Incisive pass,Injury prone,Intercept,Inventive,Jockey,Long ball pass,Long throw,Low driven shot,One club player,Pinged pass,Power shot,Precision header,Press proven,Quick step,Rapid,Relentless,Rush out,Slide tackle,Technical,Tiki taka,Trickster,Whipped pass,Acrobatic.1,Aerial fortress.1,Anticipate.1,Block.1,Bruiser.1,Chip shot.1,Cross claimer.1,Dead ball.1,Deflector.1,Enforcer.1,Far reach.1,Far throw.1,Finesse shot.1,First touch.1,Footwork.1,Gamechanger.1,Incisive pass.1,Injury prone.1,Intercept.1,Inventive.1,Jockey.1,Long ball pass.1,Long throw.1,Low driven shot.1,One club player.1,Pinged pass.1,Power shot.1,Precision header.1,Press proven.1,Quick step.1,Rapid.1,Relentless.1,Rush out.1,Slide tackle.1,Technical.1,Tiki taka.1,Trickster.1,Whipped pass.1,std_name
231866,Rodri,Rodrigo Hernández Cascante,190.0,82.0,1996-06-22,"CDM, CM",90,90,102000000.0,270000,Right,4,3,5,Normal (185+),#Distance shooter,10.0,Manchester City,13.0,Premier League,5.0,CDM,16.0,2019-07-04,2027,Spain,16,76,74,81,93,71,84,86,64,91,90,65,65,66,93,67,92,83,91,83,89,85,84,84,62,93,88,87,82,10,10,7,14,8,"Tiki taka, Power shot, Long ball pass, Aerial fortress, Press proven, Bruiser, Injury prone",76,1996.0,6.0,2019.0,7.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,rodrigo hernandez cascante
203376,V. van Dijk,Virgil van Dijk,193.0,92.0,1991-07-08,CB,90,90,57000000.0,230000,Right,3,2,5,Unique,"#Tackling, #Tactician, #Strength, #Complete defender",9.0,Liverpool,13.0,Premier League,5.0,LCB,4.0,2018-01-01,2027,Netherlands,4,53,52,88,80,45,70,60,70,83,77,66,78,54,90,50,81,89,75,93,64,85,91,70,62,90,91,91,87,13,10,13,11,11,"Intercept, Precision header, Pinged pass, Jockey, Anticipate, Aerial fortress, Bruiser, One club player",47,1991.0,7.0,2018.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,virgil van dijk
277643,Lamine Yamal,Lamine Yamal Nasraoui Ebana,180.0,72.0,2007-07-13,"RM, RW",89,95,147000000.0,100000,Left,3,5,5,Lean (170-185),"#Dribbler, #Crosser, #Acrobat",241.0,FC Barcelona,53.0,La Liga,5.0,RM,10.0,2022-07-01,2031,Spain,19,89,83,33,88,65,92,87,65,84,90,88,84,94,88,83,83,60,73,50,82,45,18,88,69,84,23,27,28,9,13,7,10,7,"Technical, Finesse shot, Gamechanger, Incisive pass, Inventive, First touch, Quick step",88,2007.0,7.0,2022.0,7.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,lamine yamal nasraoui ebana
255253,Vitinha,Vítor Machado Ferreira,172.0,64.0,2000-02-13,"CM, CDM, CAM",89,91,128500000.0,170000,Right,3,4,4,Lean (170-185),"#Dribbler, #Playmaker, #Acrobat, #Complete midfielder",73.0,Paris Saint-Germain,16.0,Ligue 1,5.0,CM,17.0,2022-06-30,2029,Portugal,23,78,80,52,90,62,91,81,69,89,88,75,69,91,88,89,77,66,87,59,84,77,85,90,88,88,74,79,69,12,13,8,5,5,"Technical, Finesse shot, Incisive pass, Long ball pass, Tiki taka, Intercept, Relentless",81,2000.0,2.0,2022.0,6.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,vitor machado ferreira
251854,Pedri,Pedro González López,174.0,60.0,2002-11-25,"CM, CDM, CAM",89,93,149500000.0,170000,Right,4,4,4,Lean (170-185),"#Dribbler, #Playmaker, #Tactician, #Acrobat, #Complete midfielder",241.0,FC Barcelona,53.0,La Liga,5.0,LDM,8.0,2020-08-04,2030,Spain,20,76,77,50,91,56,90,79,62,88,91,79,76,89,87,92,68,72,90,73,76,72,87,91,53,90,74,85,79,12,7,11,8,8,"First touch, Incisive pass, Long ball pass, Tiki taka, Technical, Relentless",86,2002.0,11.0,2020.0,8.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pedro gonzalez lopez
238794,Vini Jr.,Vinícius José de Oliveira Júnior,176.0,73.0,2000-07-12,"LM, ST, LW",89,92,141000000.0,290000,Right,4,5,5,Lean (170-185),"#Speedster, #Dribbler, #Acrobat, #Clinical finisher, #Complete forward",243.0,Real Madrid,53.0,La Liga,5.0,LM,7.0,2018-07-12,2027,Brazil,0,81,88,50,83,73,93,79,62,77,90,95,95,94,85,84,81,74,84,65,83,58,26,85,74,83,32,25,18,5,7,7,7,10,"Quick step, Finesse shot, Chip shot, Gamechanger, Inventive, Rapid, First touch",86,2000.0,7.0,2018.0,7.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,vinicius jose de oliveira junior
233419,Raphinha,Raphael Dias Belloli,176.0,68.0,1996-12-14,"LM, RM, LW",89,89,104000000.0,200000,Left,4,4,4,Lean (170-185),"#Speedster, #Dribbler, #Crosser, #Acrobat, #Clinical finisher, #Complete forward",241.0,FC Barcelona,53.0,La Liga,5.0,RES,11.0,2022-07-13,2028,Brazil,0,86,87,74,85,76,88,85,84,80,88,90,91,88,87,83,83,82,91,65,82,77,56,87,80,85,49,54,38,8,7,13,8,14,"Rapid, Finesse shot, Power shot, Trickster, Quick step, Relentless",89,1996.0,12.0,2022.0,7.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,raphael dias belloli
212831,Alisson,Alisson Ramses Becker,193.0,91.0,1992-10-02,GK,89,89,51000000.0,140000,Right,3,1,5,Unique,,9.0,Liverpool,13.0,Premier League,5.0,GK,1.0,2018-07-19,2027,Brazil,0,17,13,29,60,20,27,19,18,58,42,60,49,40,87,37,65,82,32,78,14,27,11,66,23,66,15,19,16,86,85,86,90,89,"Rush out, Far throw, Deflector",13,1992.0,10.0,2018.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,alisson ramses becker
212622,J. Kimmich,Joshua Kimmich,177.0,75.0,1995-02-08,"CDM, RB, CM",89,89,86000000.0,140000,Right,4,3,4,Normal (170-185),"#Playmaker, #Crosser, #Tackling, #Complete midfielder",21.0,FC Bayern München,19.0,Bundesliga,5.0,RDM,6.0,2015-07-01,2029,Germany,6,92,68,72,89,69,82,85,79,92,86,75,70,83,89,84,78,77,92,69,83,89,85,86,71,86,82,86,85,8,15,7,15,15,"Long ball pass, Finesse shot, Whipped pass, Anticipate, Press proven, Relentless",78,1995.0,2.0,2015.0,7.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,joshua kimmich
202126,H. Kane,Harry Kane,188.0,86.0,1993-07-28,ST,89,89,87000000.0,155000,Right,4,3,5,Unique,"#Aerial threat, #Distance shooter, #Strength, #Clinical finisher, #Complete forward",21.0,FC Bayern München,19.0,Bundesliga,5.0,ST,9.0,2023-08-12,2027,England,9,80,93,90,86,89,80,82,69,82,87,62,65,67,94,72,91,87,76,86,89,82,42,86,93,92,46,44,42,8,10,11,14,11,"Finesse shot, Precision header, Low driven shot, Gamechanger, Long ball pass, First touch",94,1993.0,7.0,2023.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,harry kane
